rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
1,wasmedge,factorial,True,-2102132736,16384,437625,3000,7833,30708,87812000.0,35721000,0,1.0,3.319204286600471,459101669,138316786,5144576,
1,wasmedge,sieve,True,1229,441,768875,1831000,4695792,7044750,1664001000.0,45666000,0,1.0,3.665024178389639,7890269868,2152856157,5242880,
1,wasmedge,crc32,True,-1910355869,49,533750,19473750,33478792,41047625,1337892000.0,31311000,0,1.0,3.426588372445091,6485386236,1892665687,5390336,
1,wasmedge,matmul_simd,True,48907,95,636958,12256083,22305084,28009625,1810130000.0,46267000,0,1.0,3.6447281889777567,8378060433,2298679078,5505024,
1,wasmedge,matmul_fma,True,48907,108,633125,8142916,16696333,30419541,1516327000.0,38785000,0,1.0,3.558865830767918,6949570080,1952748547,5570560,
1,wasmedge,convolution,True,8190685,73,669167,13741000,29320167,35993500,1804909000.0,42976000,0,1.0,3.478351056546804,8406873515,2416913468,5701632,
1,wasmedge,audio_dsp,True,761667740,1,585084,5891864792,5891864792,5891864792,5212501000.0,129747000,0,1.0,3.553938447034502,25504566575,7176423271,5701632,
1,wasmedge,bulk_memory,True,8698902,31,676500,54767583,76161042,506942917,2057903000.0,52772000,0,1.0,3.663760506034268,10145241802,2769078870,5914624,
1,wasmedge,call_indirect,True,-9175573,18,860541,64085417,95511958,123058208,1509460000.0,35455000,0,1.0,3.3251810003336297,6913084485,2079009980,5914624,
1,wasmedge,factorial.scalar,True,-2102132736,16384,377625,3416,5083,25291,76641000.0,26172000,0,1.0,3.4035069143805154,534279585,156979139,5914624,
1,wasmedge,sieve.scalar,True,1229,672,221208,1955666,4442792,7617625,2549577000.0,65584000,0,1.0,3.5843253111039126,12543670270,3499590350,5914624,
1,wasmedge,crc32.scalar,True,-1910355869,60,347791,20997834,34069167,59155584,1753089000.0,40302000,0,1.0,3.4382977505638648,8011623538,2330113364,5914624,
1,wasmedge,convolution.scalar,True,8190685,33,308875,42822500,67071208,77845583,1913343000.0,48508000,0,1.0,3.4715387565231777,9072972252,2613530451,5963776,
1,wasmedge,bulk_memory.scalar,True,8698902,27,470209,60483833,79308500,92342542,1869360000.0,47099000,0,1.0,3.669788247011419,9293489634,2532432121,6045696,
1,wasmedge,xmrsplayer,True,1101642729,22,11312625,64346208,86339125,115233041,1651576000.0,44167000,0,1.0,3.41652302306936,7490871329,2192542324,25100288,
1,wasmedge,vtable_mono,True,-318559695,14,743292,103115458,141768708,162695459,1663421000.0,39840000,0,1.0,3.224727924219616,7545436350,2339867588,25100288,
1,wasmedge,vtable_bi,True,-208336512,10,746583,151753209,189738291,204930250,1620858000.0,38775000,0,1.0,3.495655595457073,7473587015,2137964342,25100288,
1,wasmedge,vtable_poly4,True,-126115384,11,834125,171470625,194790917,210357084,1885513000.0,45742000,0,1.0,3.310800718502887,8453604694,2553341446,25100288,
1,wasmedge,vtable_poly6,True,579248763,10,426458,189081709,210279667,237635875,1835416000.0,47804000,0,1.0,3.306734124850711,8284900123,2505463037,25100288,
1,wasmedge,graphql_as,True,5,42,7683500,39100375,53808792,76478542,2000167000.0,45892000,0,1.0,3.2935220405514136,8982827412,2727422893,25100288,
1,wasmedge,tailcall_fsm,True,-1841735369,46,344625,25885875,37223083,50106959,1462202000.0,35884000,0,1.0,3.7446153338893615,7715253968,2060359551,25100288,
1,wasmedge,eh_parser_exnref,True,830008030,32,580875,45749708,59084375,70172458,1647446000.0,36310000,0,1.0,3.4337738732614222,7768756039,2262454176,25100288,
1,wasmedge,eh_parser_legacy,False,,,,,,,,,,,,,,,"WasmEdge VMLoadWasmFromBytes: illegal opcode
loading failed: illegal opcode, Code: 0x117
    Bytecode offset: 0x00000171
    At AST node: instruction
    At AST node: expression
    At AST node: code segment
    At AST node: code section
    At AST node: module"
1,wasmedge,gc_trees,True,-81253392,10,344875,166451667,188062584,196862584,1576319000.0,72564000,35542,1.0,3.4583691898416555,7634173921,2207449090,189513728,
1,wasmedge,callref_dispatch,True,-750120562,21,774416,89222167,106287667,120210958,1916616000.0,44988000,0,1.0,3.4713747101111,8781276744,2529625142,189513728,
1,wasmedge,callref_dispatch.indirect,True,-750120562,20,236042,76106875,102754083,110447791,1720908000.0,41269000,0,1.0,3.4911282046749146,8120801618,2326125293,189513728,
1,wasmedge,relaxed_dot,True,-551922832,511,700750,3110166,7246708,10736417,3147485000.0,78022000,0,1.0,3.557430383360755,14864285204,4178376975,189513728,
1,wasmedge,relaxed_madd,True,-1435646925,552,653500,1371708,3131500,5566500,1455735000.0,36887000,0,1.0,3.4749957213896665,7017791570,2019510852,189513728,
1,wasmedge,mem64_chase,True,433527714,15,14772625,121834667,170234000,184009500,2141758000.0,46635000,0,1.0,1.5450297079966038,5456471341,3531628753,244170752,
1,wasmedge,mem64_chase.mem32,True,433527714,10,339375,130266666,169536792,177779000,1488067000.0,39334000,0,1.0,1.6767240401293768,3209203220,1913972212,311279616,
1,wasmedge,multimem_transform,True,902712413,41,663583,22607709,40791791,53141042,1462088000.0,34589000,0,1.0,3.638151258039205,7388060236,2030718272,311279616,
1,wasmedge,multimem_transform.single,True,902712413,46,477666,28461625,41910333,57159375,1672606000.0,43301000,0,1.0,3.6200536465514643,8293504481,2290989386,311279616,
1,wasmedge,extconst_init,True,-1152068691,135,15093166,5812625,14005209,1491732167,813159000.0,668266000,69208,1.0,3.0009581236571448,6171265851,2056431845,311279616,
1,wasmedge,extconst_init.mvp,True,-1152068691,197,5960917,5430208,12777833,100472167,1044722000.0,972517000,113208,0.9999,3.074872054886429,8500821060,2764609684,311279616,
1,wasmedge,graphql_porf,True,0,48,10463417,33318458,44816917,62959167,1700933000.0,200876000,1887875,0.999,3.094526923880556,7892690068,2550532040,311279616,
1,wasmedge,sqlite3,False,,,,,,,,,,,,,,,N/A — the harness only has a WASI preview-1 + bench.* import shim for Pulley
1,zwasm,fib,True,832040,2,982792,777335125,851535291,851535291,1411992000.0,60723000,0,1.0,3.6115905766949785,6640999163,1838801775,5357568,
1,zwasm,fib_tail,True,873876091,466,226958,2269208,5159375,7641792,2067147000.0,94548000,0,1.0,4.46801307521404,11963105831,2677500184,5488640,
1,zwasm,factorial,False,,,,,,,,,,,,,,,init warmup failed: `factorial(20)` trapped: trap: unreachable
1,zwasm,sieve,False,,,,,,,,,,,,,,,init warmup failed: `sieve(10000)` trapped: trap: unreachable
1,zwasm,crc32,False,,,,,,,,,,,,,,,init warmup failed: `crc32(12648430)` trapped: trap: unreachable
1,zwasm,matmul_simd,False,,,,,,,,,,,,,,,init warmup failed: `matmul(48879)` trapped: trap: unreachable
1,zwasm,matmul_fma,False,,,,,,,,,,,,,,,init warmup failed: `matmul_fma(48879)` trapped: trap: unreachable
1,zwasm,convolution,False,,,,,,,,,,,,,,,init warmup failed: `convolve(51966)` trapped: trap: unreachable
1,zwasm,audio_dsp,True,761667740,1,329333,5440934041,5440934041,5440934041,4663214000.0,221008000,0,1.0,4.476206846490465,28611496094,6391906602,6094848,
1,zwasm,bulk_memory,False,,,,,,,,,,,,,,,init warmup failed: `bulk_memory(45260)` trapped: trap: unreachable
1,zwasm,call_indirect,True,-9175573,18,349666,93379791,110738125,126081833,1738195000.0,75912000,0,1.0,3.294037213968797,7482155020,2271423950,6209536,
1,zwasm,factorial.scalar,True,-2102132736,16384,351666,1625,4250,14375,64691000.0,3046000,0,1.0,4.157141152431577,319354564,76820717,6307840,
1,zwasm,sieve.scalar,True,1229,412,691709,1756209,4045667,6321584,1424270000.0,65104000,0,1.0,4.519907929005868,8544830250,1890487679,6340608,
1,zwasm,crc32.scalar,True,-1910355869,68,394041,23033334,29253875,35795375,1709655000.0,77812000,0,1.0,4.445720041886208,9766601698,2196854864,6406144,
1,zwasm,convolution.scalar,True,8190685,31,295166,46932584,64395375,71679333,1688642000.0,78602000,0,1.0,4.546425957665158,10417943241,2291457804,6471680,
1,zwasm,bulk_memory.scalar,True,8698902,24,436334,62677541,79696834,96851750,1604255000.0,74912000,0,1.0,4.476708958810286,9323098285,2082578602,6520832,
1,zwasm,xmrsplayer,True,-1187888079,23,3481292,66534875,80142000,98653583,1608597000.0,76732000,0,1.0,3.916681025009192,8298607524,2118785643,24674304,
1,zwasm,vtable_mono,True,-318559695,10,560875,161518792,183754917,204803334,1547727000.0,70370000,0,1.0,3.067689068618917,6512914692,2123068716,24674304,
