rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
10,tinywasm,simd128,1,121,4.812,5.38,185.86,287.145,307.576,417.152,194.05,3.073,10.688,504.308,75.403,43680648,,6291456,23485.977,0.9982,1.484,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
2,tinywasm,simd128,1,121,4.888,5.494,182.028,285.166,288.07,288.626,190.86,3.056,10.659,498.296,78.544,43778912,,6291456,23235.966,0.9982,1.5,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
3,tinywasm,simd128,1,121,4.936,5.513,181.374,284.257,287.671,288.288,189.01,2.982,10.621,504.105,75.533,43565960,,6291456,23107.359,0.9982,1.508,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
4,tinywasm,simd128,1,121,4.884,5.473,182.719,286.556,290.919,291.728,191.115,3.008,10.608,495.809,74.344,43697032,,6291456,23363.374,0.9982,1.492,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
5,tinywasm,simd128,1,121,4.881,5.442,183.763,287.601,290.171,291.77,191.31,2.974,10.596,489.661,74.694,43615112,,6291456,23405.296,0.9982,1.489,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
6,tinywasm,simd128,1,121,4.908,5.479,182.528,286.776,289.423,290.018,190.127,2.993,10.632,497.94,74.072,43647840,,6291456,23271.228,0.9982,1.498,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
7,tinywasm,simd128,1,121,4.9,5.482,182.421,285.969,289.185,289.621,190.439,3.038,10.608,487.919,78.825,43615152,,6291456,23277.629,0.9982,1.497,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
8,tinywasm,simd128,1,121,4.884,5.477,182.576,285.971,290.794,295.716,191.128,2.982,10.624,490.328,74.898,43500384,,6291456,23362.483,0.9982,1.492,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
9,tinywasm,simd128,1,121,4.925,5.546,180.325,283.819,289.001,289.175,189.383,3.019,10.664,493.613,76.0,43811680,,6291456,23182.971,0.9982,1.503,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
1,wamr,simd128,0,121,5.575,5.758,173.668,229.348,241.937,242.988,137.458,4.174,37.747,199.961,78.322,53740464,,12386304,17092.629,0.9975,1.193,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
