busiest thread: WasmBench (0x3ace1)  samples: 11789 (100.0% on E cores)  all threads: 11902

# self time (leaf frame), top 60
  2.38%     281  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20BinOpStackLocalTee32
  2.15%     253  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted11BranchTable
  2.06%     243  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted10LocalSet32
  1.85%     218  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32GtS
  1.69%     199  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted7I32DivS
  1.64%     193  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted20BinOpStackLocalSet32
  1.59%     187  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted17BinOpLocalLocal32
  1.48%     174  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15AndLocalConst32
  0.83%      98  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8Select32
  0.48%      57  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted8I32Store
  0.30%      35  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted15SetLocalConst32
  0.16%      19  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted19JumpCmpStackConst32
  0.14%      17  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted4Jump
  0.11%      13  _RNvMNtNtNtCsiu4FEgNcf0E_8tinywasm11interpreter8executor15dispatch_becomeNtB2_10Unbudgeted6I32LtS
  0.04%       5  _dispatch_once_callout
  0.03%       4  0x1b6805b1f
  0.03%       4  0x1a8ce58b7
  0.03%       4  0x1b680549b
  0.03%       4  0x1a8ce5893
  0.03%       4  0x1a8ce76a7
  0.03%       4  _dispatch_lane_barrier_sync_invoke_and_complete
  0.03%       4  0x1a8ce75e3
  0.03%       4  0x1a8c3baf3
  0.02%       2  0x2021f08b7
  0.02%       2  +[BSObjCProtocol protocolForProtocol:]
  0.02%       2  +[BSObjCProtocol protocolForProtocol:interpreter:]
  0.02%       2  0x1b68055eb
  0.02%       2  +[BSObjCProtocol _gatherMethodMetadataForRequired:onProtocol:toMethods:andErrors:]
