rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
3,pr1,bulk_memory (memory.copy/fill) [scalar build],8698902,129,28640585.395348836,96671505.15503876,15.644651162790698,1.0
4,pr1,bulk_memory (memory.copy/fill) [scalar build],8698902,129,28596358.294573642,96680828.54263566,15.598759689922481,1.0
5,pr1,bulk_memory (memory.copy/fill) [scalar build],8698902,124,28843234.830645163,96673164.45967741,15.756774193548386,1.0
1,pr2,bulk_memory (memory.copy/fill) [scalar build],8698902,132,27749277.34090909,93931304.34848484,15.159545454545453,1.0
2,pr2,bulk_memory (memory.copy/fill) [scalar build],8698902,132,27700144.53787879,93933139.37878788,15.13,1.0
3,pr2,bulk_memory (memory.copy/fill) [scalar build],8698902,133,27724722.89473684,93931437.17293233,15.142556390977443,1.0
4,pr2,bulk_memory (memory.copy/fill) [scalar build],8698902,130,27837035.26153846,93934213.16923077,15.205307692307693,1.0
5,pr2,bulk_memory (memory.copy/fill) [scalar build],8698902,132,27740106.234848484,93935227.6969697,15.145530303030304,1.0
1,pr3,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26597630.160583943,91734364.81021897,14.511751824817518,1.0
2,pr3,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26568481.08029197,91726500.9051095,14.50934306569343,1.0
3,pr3,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26555715.13868613,91726025.00729927,14.504452554744525,1.0
4,pr3,bulk_memory (memory.copy/fill) [scalar build],8698902,138,26574131.92753623,91727133.0,14.512536231884058,1.0
5,pr3,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26580739.379562043,91726593.12408759,14.517591240875912,1.0
1,ub,bulk_memory (memory.copy/fill) [scalar build],8698902,136,26818595.161764707,91726764.58088236,14.646029411764705,1.0
2,ub,bulk_memory (memory.copy/fill) [scalar build],8698902,136,26819718.286764707,91727915.58823529,14.646764705882353,1.0
3,ub,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26826248.343065694,91726306.18978103,14.655401459854014,1.0
4,ub,bulk_memory (memory.copy/fill) [scalar build],8698902,136,26819007.102941178,91725017.77941176,14.652132352941177,1.0
5,ub,bulk_memory (memory.copy/fill) [scalar build],8698902,137,26828974.970802918,91728079.54014598,14.654160583941605,1.0
1,base,call_indirect (200K dispatches),-9175573,56,63281515.428571425,154936841.14285713,34.50928571428572,1.0
2,base,call_indirect (200K dispatches),-9175573,57,63614656.98245614,154929726.71929824,34.67859649122807,1.0
3,base,call_indirect (200K dispatches),-9175573,57,63279730.28070176,154928130.5614035,34.46771929824561,1.0
4,base,call_indirect (200K dispatches),-9175573,52,63686087.40384615,154951809.59615386,34.705769230769235,1.0
5,base,call_indirect (200K dispatches),-9175573,57,63361908.2631579,154930422.77192983,34.60824561403509,1.0
1,pr1,call_indirect (200K dispatches),-9175573,59,61562664.06779661,150441843.40677965,33.60491525423729,1.0
2,pr1,call_indirect (200K dispatches),-9175573,59,61437780.49152543,150446127.81355932,33.54491525423729,1.0
3,pr1,call_indirect (200K dispatches),-9175573,59,62002312.49152543,150446711.7118644,33.85677966101695,1.0
4,pr1,call_indirect (200K dispatches),-9175573,59,61269845.423728816,150445855.3559322,33.463559322033895,1.0
5,pr1,call_indirect (200K dispatches),-9175573,58,61371224.39655172,150442564.68965518,33.50948275862069,1.0
1,pr2,call_indirect (200K dispatches),-9175573,58,62343999.98275862,148941163.8275862,34.03775862068966,1.0
2,pr2,call_indirect (200K dispatches),-9175573,59,61751204.27118644,148936990.57627118,33.713389830508476,1.0
3,pr2,call_indirect (200K dispatches),-9175573,59,61729655.69491526,148926502.83050847,33.637796610169495,1.0
4,pr2,call_indirect (200K dispatches),-9175573,58,63174044.22413793,148930778.29310346,34.50931034482758,1.0
5,pr2,call_indirect (200K dispatches),-9175573,59,61705649.644067794,148929637.15254238,33.69474576271187,1.0
1,pr3,call_indirect (200K dispatches),-9175573,59,60428986.711864404,147432102.52542374,33.00474576271186,1.0
2,pr3,call_indirect (200K dispatches),-9175573,60,60270507.31666667,147429143.93333334,32.89666666666667,1.0
3,pr3,call_indirect (200K dispatches),-9175573,60,60553461.86666667,147433746.1,33.035,1.0
4,pr3,call_indirect (200K dispatches),-9175573,60,60297051.81666667,147436135.76666668,32.93566666666667,1.0
5,pr3,call_indirect (200K dispatches),-9175573,60,60220344.38333333,147430666.46666667,32.78566666666667,1.0
1,ub,call_indirect (200K dispatches),-9175573,60,60172931.13333333,146440394.48333332,32.855333333333334,1.0
2,ub,call_indirect (200K dispatches),-9175573,60,60610801.45,146427313.2,33.1115,1.0
3,ub,call_indirect (200K dispatches),-9175573,59,60401190.881355934,146427157.77966103,32.88576271186441,1.0
4,ub,call_indirect (200K dispatches),-9175573,60,60158480.46666667,146430891.75,32.8575,1.0
5,ub,call_indirect (200K dispatches),-9175573,60,60695949.75,146429807.13333333,33.157666666666664,1.0
1,base,call_ref twin: call_indirect (200K),-750120562,66,55028343.68181818,141813025.9090909,30.058333333333334,1.0
2,base,call_ref twin: call_indirect (200K),-750120562,66,55120051.59090909,141810823.72727272,30.116212121212122,1.0
3,base,call_ref twin: call_indirect (200K),-750120562,66,54990300.65151515,141815647.92424244,30.03469696969697,1.0
4,base,call_ref twin: call_indirect (200K),-750120562,66,54864678.81818182,141814116.34848484,29.961363636363636,1.0
5,base,call_ref twin: call_indirect (200K),-750120562,66,55267496.45454545,141810432.9090909,30.190151515151513,1.0
1,pr1,call_ref twin: call_indirect (200K),-750120562,67,54087048.46268657,138357376.3880597,29.54820895522388,1.0
